,total_profit,algorithm,nbr_func,its,seed,elitism_enum,crossover,selection,popsize,tsize,pmut,zero_prob
152,27579,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,10,0.05,0.1
153,27363,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,10,0.05,0.5
154,27351,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,25,0.05,0.1
155,27375,GA,int_nbr_one_day,10000,0,25,uniform_crossover,tournament_select,500,25,0.05,0.5
156,26693,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,5,0.01,0.1
157,26697,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,5,0.01,0.5
158,27482,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,10,0.01,0.1
159,27618,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,10,0.01,0.5
160,27308,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,25,0.01,0.1
161,27319,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,25,0.01,0.5
162,27050,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,5,0.05,0.1
163,27136,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,5,0.05,0.5
164,27873,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,10,0.05,0.1
165,27842,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,10,0.05,0.5
166,27524,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,25,0.05,0.1
167,27574,GA,int_nbr_one_day,10000,0,50,uniform_crossover,tournament_select,500,25,0.05,0.5
168,26848,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,5,0.01,0.1
169,26756,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,5,0.01,0.5
170,27553,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,10,0.01,0.1
171,27553,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,10,0.01,0.5
172,27278,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,25,0.01,0.1
173,27278,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,25,0.01,0.5
174,26662,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,5,0.05,0.1
175,26946,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,5,0.05,0.5
176,27108,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,10,0.05,0.1
177,27222,GA,int_nbr_one_day,10000,0,100,uniform_crossover,tournament_select,500,10,0.05,0.5
